headline,text,business,entertainment,politics,sport,tech
actress roberts takes spider role,actress julia roberts play part spider new film version children classic charlotte web she voice charlotte teams girl save friend wilbur pig story eb white the film mix live action animation roberts first project since birth twins hazel phinnaeus two months ago oprah winfrey voice goose john cleese voice sheep steve buscemi rat 2006 film ten year old dakota fanning play fern girl centre story film directed 13 going 30 film maker gary winick filming due begin melbourne australia later month charlotte web sold 45 million copies since published 1952 an animated version made 1973 first live action film the actor voice wilbur pig yet revealed,0,1,0,0,0
film production falls 40 uk,the number british films produced uk fell 40 2004 movies starring johnny depp jude law among affected screen daily said twenty seven british films made uk last year following drop funding compared 45 2003 according trade weekly it attributed drop tighter tax laws reduced funding sources national lottery uk us co productions britain fell 102 2003 81 last year last year government closed tax loopholes many film investors taken advantage fund films uk several projects shelved faced implications clampdown coupled reduction movie funding traditional sources including lottery miramax films shooting period drama tulip fever star jude law keira knightley postponed indefinitely shooting the libertine starring johnny depp moved isle man there anything coming replace funds said the libertine executive producer marc samuelson we hiatus films medium budgets 9 similar level box office hits vera drake calendar girls enduring love expected worst hit tax clampdown the strength pound dollar expected resulted fall number us films shot uk 2004 screen international added big budget co productions harry potter series continued shot uk however the uk film council said drop partly due 2003 especially good year british film production bridget jones the edge reason wimbledon thunderbirds filmed uk the drop expected way 2003 record level production could bettered council spokesperson said the reduction indigenous film production 2004 due variety factors including continuing long term trend towards co production films one country changes financing arrangements it early predict whether downward trend uk production would continue throughout 2005 uk film council said in september government introduced subsidies worth 4 per film medium budget films new treasury measures it also due announce replacement uk film tax relief scheme section 48 july,0,1,0,0,0
patti smith host arts festival,rock star patti smith made artistic director year meltdown festival held london south bank centre june the punk pioneer follows morrissey david bowie nick cave directing 15 days concerts events smith yet decide line meltdown begins 11 june i want touch aspects culture perhaps readings genet i idea jeremy irons read proust said the 58 year old us singer because night told the observer newspaper festival would response material exploitative greedy times it important explore new also salute best art aesthetically spiritually said last year meltdown festival directed ex smiths star morrissey included appearances singer jane birkin nancy sinatra playwright alan bennett he also persuaded punk band the new york dolls reform reunion show,0,1,0,0,0
brits return keane number one,brits success helped return keane award winning album hopes fears back top uk album chart the debut album took best british album title brits tuesday moved seven places number eight number one also capitalising brits success scissor sisters whose eponymous album moved three places number two u 2 latest single sometimes you ca make it on your own took top spot singles chart ahead elvis the track current album how to dismantle an atomic bomb pushed eminem like toy soldiers number one number three elvis wooden heart entered chart number two sixth series 18 reissues mark 70 th anniversary presley birth there currently six released elvis tracks occupying spots top 40 singles chart including are you lonesome tonight number 20 it now never number 27 jailhouse rock number 37 soldier destiny child ti lil wayne debuted number four almost here duet former westlife star brian mcfadden delta goodrem fell number three number five there follow brits success franz ferdinand best rock act best british group last week their self titled album moved 13 number four last week number one album tourist athlete fell number three,0,1,0,0,0
sundance honour foreign films,international films given prominence us films next year sundance film festival movies dominated theme war the independent film festival feature two new international cinema competitions 20 30 january season utah forty two films debut sundance including the liberace baghdad british director sean mcallister the prestigious festival founded actor robert redford 1981 we always international component next year enter jury competition festival director geoffrey gilmore said we wanted give world cinema emphasis put par american dramatic documentary competitions twelve films competing new world cinema documentary category focus countries people siege the liberace baghdad features iraqi pianist hiding hotel waits visa finnish film the three rooms melancholia looks war chechnya shake hands with the devil the journey romeo dallaire tells un mission rwanda 1994 genocide french israeli production wall looks israel controversial security wall separating palestinian territories the 16 films competing new world cinema dramatic category include works germany south korea angola china denmark australia several hollywood stars feature festival american independent drama category including keanu reeves benjamin bratt vince vaughn stars quirky movie thumbsucker 21 grams actress naomi watts plays budding hollywood actress ellie parker the top grand jury prize year festival went low budget sci fi thriller primer written directed shane carruth morgan spurlock earned directing award super size me became international box office hit,0,1,0,0,0
rapper snoop dogg sued rape,us rapper snoop dogg sued 25 13 make artist claimed entourage drugged raped two years ago the woman said assaulted recording jimmy kimmel live tv show abc network 2003 the rapper spokesman said allegations untrue woman misusing legal system means extracting financial gain abc said claims merit the star charged police the lawsuit filed los angeles friday says woman champagne spiked assaulted the rapper spokesperson said snoop opportunity prove court law alleged victim opportunistic deceitful we confident case alleged victim claims snoop dogg rejected the lawsuit names snoop dogg real name calvin broadus plus three associates the walt disney company parent company abc inc the woman waited two years sue trying negotiate settlement media companies lawyer perry wander said disney abc failed provide safe working environment client said the legal action comes rap star sued woman claimed tried blackmail keep quiet alleged assault the 32 year old rapper enjoyed six us top 10 albums since bursting onto music scene hit songs like what my name gin juice 1993,0,1,0,0,0
de niro film leads us box office,film star robert de niro returned top north american box office film hide seek the thriller shot straight number one spot taking 22 11 7 box office de niro recently spent three weeks top comedy meet the fockers number five week oscar hopefuls the aviator million dollar baby sideways cashed multiple nominations stronger ticket sales in hide seek de niro plays widower whose daughter creepy imaginary friend despite lukewarm reviews critics film took expected 18 9 5 the element real actor psychological thriller certainly elevated said bruce snyder president domestic distribution 20 th century fox clint eastwood million dollar baby led oscar hopefuls 11 8 6 3 coming number three first weekend wide release the aviator film biography howard hughes leads oscar field 11 nominations number six weekend 7 5 4 oscar best picture nominee sideways entered top ten first time 15 th week release it came seventh 6 3 3 35 last week top film ice cube road trip comedy are we there yet slipped second place 17 9 coach carter fell two places number four taking 8 4 25 third week rounding top ten in good company starring dennis quaid scarlett johansson racing stripes assault precinct 13,0,1,0,0,0
indie film nominations announced,mike leigh award winning abortion drama vera drake scooped seven nominations year british independent film awards but venice winner faces stiff competition shane meadows critically acclaimed dead man shoes received eight nominations also running clutch awards my summer love stalker drama enduring love the winners announced ceremony london 30 november the winners awards chosen jury chaired cold mountain director anthony minghella including actresses cate blanchett helena bonham carter the awards recognise independent film making britain established seven years ago this year nominees reflect growing strength diversity british independent filmmaking said bifa founder director elliot grove commenting diversity nominated films added our selection committee harder time ever narrowing field joining vera drake dead man shoes running best film my summer love climbing documentary touching void zombie comedy shaun dead geoffrey rush wins best actor nomination role peter sellers recent biopic the life death peter sellers the australian star faces competition daniel craig enduring love phil davis vera drake ian hart blind fight dead man shoes star paddy considine considine also nominated best supporting actor award my summer love a rare us nominee scarlett johansson among year best actress contenders role girl pearl earring fellow nominees include imelda staunton vera drake natalie press my summer love anne reid the mother eva birthistle ae fond kiss shane meadows kevin mcdonald former winners douglas hickox award best directorial debut best director nominations seasoned film makers roger michell mike leigh pavel pavlikowsky challenge award harry potter author jk rowling receive special award contribution industry,0,1,0,0,0
director nair vanity project,indian film director mira nair said thrilled given chance make william makepeace thackeray novel vanity fair book favourite life the book one classics english literature story scheming 19 th century social climber becky sharp played film reese witherspoon nair said jumped chance work film controversially made bollywood style including two song dance routines film second half it serendipity really i offered vanity fair studio focus features distributed monsoon wedding nair told bbc world service masterpiece programme they offered next best thing realising vanity fair actually one favourite novels since i 16 years old irish catholic boarding school india since 1988 debut feature salaam bombay nominated best foreign language oscar winner best first feature cannes nair become one india famous respected directors she restricted bollywood however followed salaam bombay mississippi masala starring denzel washington the perez family first hollywood film her career peaked monsoon wedding 2001 golden lion award venice nair indian style adaptation vanity fair however attacked critics us reached number eight box office opening week described bollywood elements jarring the film new ending becky sharp running new life india but nair said film picked way thackeray born india moved england young man seen world first i 16 becky sharp completely memorable character i recognised i recognised ladies want ladies wanted buck system said but sort novel i somehow kept side bed many years i would dip every suddenly get completely mesmerised as i got older read i think thackeray clarity clear sightedness society fact born india came england young man gave eyes outsider yet insider that perspective something i really loved nair also defended decision cast american actress reese witherspoon becky sharp despite fact rest cast british irish i cast intuitively films i cast many non actors i cast actors said for intuition i fall love actor it visceral response thackeray describes becky sharp minx also described someone tiny red headed thin reese completely minx like irresistibility having role seemed physically perfectly suited part however witherspoon became pregnant but nair said though created need filming tricks fact also helped film it self fulfilling prophesy i first met husband actor ryan philippe i said knock i need flesh girl joked i fan underfed los angeles actor this becky sharp eventually full blown woman course film i love luminosity pregnancy brings i love fleshiness i love ample bosom gave much play nair explained camera tricks used disguise witherspoon bump various scenes including hiring number young boys costumes stand front she runs gets coal carts jumps horses everything nair said but also certain carriage horses going wipe screen certain moment bump,0,1,0,0,0
the sound music coming home,the original stage production the sound music performed first time austrian capital 40 years film released the first full scale theatrical production musical make debut vienna saturday julie andrews starred 1965 film version rogers hammerstein classic set alpine country but despite one successful musicals time barely known inside austria the film never shown cinema austria broadcast television early 1990 the musical based true story von trapp family formed singing troupe escaped nazi occupied austria 1938 sensitivities nazism wartime austria issues towards von trapp family could explain austria reluctance embrace musical another source irritation austrians song edelweiss considered traditional folk song many filmgoers the song actually invention rodgers hammerstein many also consider film portray kitsch image austria including yodelling goat herds lederhosen the production staged viennese opera house volksoper beginning saturday maria novice nun falls love baron von trapp played austro australian actress singer sandra pires,0,1,0,0,0
lasting influence legend charles,ray charles string posthumous grammy awards belonged pioneering generation artists huge influence course rock pop music his sound encompassed many styles blues gospel jazz rock n roll even country real impact nascent uk beat r b scenes compared stature elvis presley commentators charles songs cast spell 1960 stalwarts joe cocker steve winwood eric burdon van morrison his influence extended contemporary artists norah jones recently recorded duet if james brown godfather soul ray charles indisputably one founding fathers along sam cooke instrumental bringing together gospel fervour deep south baptist church devil music r b pave way new generation soul artists without charles hard imagine tear stained atlantic r b sound aretha franklin otis redding wilson pickett he also talented jazz composer arranger band leader playing newport jazz festival carnegie hall recording noted jazz musicians milt jackson david fathead newman unfortunately also shared another trait common among many jazz artists era heroin addiction led arrested 1965 his string 1950 atlantic r b successes included songs would covered first generation rock n roll greats including i got a woman roy orbison elvis presley hallelujah i love her so eddie cochran after exuberance 1959 signature song what would i say charles turned towards pop oriented style recording hoagy carmichael sentimental string ballad georgia on my mind upbeat hit the road jack he also acclaim country arena interpretations hank williams standards your cheating heart you win again more 40 years release 1962 abc album modern sounds country western music still regarded classic his version don gibson i ca stop loving you topped pop r b charts us in 1972 made rare foray protest songs album a message people on took stand poverty civil rights echoing similar recordings era progeny stevie wonder james brown curtis mayfield marvin gaye more 20 years later would embrace contemporary production 1993 album my world featured hip hop beats although charles claimed time know hip hop among tributes poured sections music world charles died aged 73 june 2004 one friend producer quincy jones described brother every sense word there never another musician much break perceived walls musical genres much ray charles said former manfred mann singer paul jones sang 1960 hits come tomorrow sha la la said charles one heroes i quite sure writing influenced told bbc news online i would put money proposition ray charles influence music forever,0,1,0,0,0
rapper 50 cent ends protege feud,rapper 50 cent ended public feud protege the game pair said wanted good role models communities the row blew 50 cent threw the game g unit crew accused disloyal a member the game entourage reportedly shot outside radio station 50 cent interviewed but pair shook hands handed money music projects new york deprived areas wednesday the game whose real name jayceon taylor told news conference i want apologise i almost ashamed participated things went last weeks chart topper 50 cent real name curtis jackson said truce came anniversary death notorious big 1997 part volatile feud east west coast rap scenes we today show people rise difficult circumstances together put negativity behind us 50 cent said a lot people want see happen responding two important groups family fans the boys choir harlem got cheque 150 000 77 800 50 cent the game handed 103 500 53 400 the game also made contribution compton schools music programme 50 cent announced launched g unity foundation help people overcome obstacles make chance better lives i realised i going effective i overcome said game i need set example community 50 cent stranger feuds rapper ja rule among targets ridicule songs on latest album released earlier month turned attentions fat joe nas worked ja rule both the game admitted drug dealing past shot,0,1,0,0,0
the producers scoops stage awards,the producers beaten mary poppins battle blockbuster west end musicals olivier awards the producers three prizes uk prestigious annual theatre awards mary poppins two mel brooks hit show triumphed battle best new musical mary poppins andrew lloyd webber the woman white alan bennett the history boys big winner straight theatre categories picking three trophies but eyes musical prizes the producers mary poppins the woman white high profile openings last six months the producers nathan lane last minute replacement richard dreyfuss beat former co star lee evans win best musical actor lane already left production a smash hit broadway moving london show also best musical performance supporting role conleth hill plays director roger debris mary poppins awards came best choreography best musical actress star laura michelle kelly it led nominations going sunday ceremony london hilton hotel nine awards both shows stage adaptations 1960 films the history boys set grammar school early 1980 partly based bennett experiences teacher named best new play it also best actor richard griffiths beat harry potter film co star michael gambon nominated endgame well jonathan pryce ben whishaw the play also national theatre artistic director nicholas hytner best director bennett got special award outstanding contribution british theatre dame judi dench starred all well that ends well gielgud lost best supporting role category amanda harris played emilia othello royal shakespeare company the olivier awards handed society london since 1976 best lighting design his dark materials designed paule constable olivier best sound design the woman white designed mick potter palace best new opera lady macbeth mtsensk royal opera house outstanding achievement opera thomas ades royal opera house world premiere the tempest best costume design all well that ends well designed deirdre clancy gielgud best revival hamlet william shakespeare the old vic best set design his dark materials designed giles cadle olivier outstanding musical production grand hotel donmar warehouse best supporting role musical conleth hill the producers theatre royal drury lane best theatre choreographer matthew bourne stephen mear mary poppins prince edward best actor richard griffiths the history boys lyttelton outstanding achievement performance affiliate theatre andrew scott a girl a car with a man jerwood theatre upstairs royal court best new dance production rambert dance company swamp sadler wells outstanding achievement dance san francisco ballet season sadler wells best performance supporting role amanda harris othello trafalgar studios best actress clare higgins hecuba donmar warehouse best musical actor nathan lane the producers theatre royal drury lane best musical actress laura michelle kelly mary poppins prince edward best director nicholas hytner the history boys lyttelton best new play the history boys alan bennett lyttelton best new musical the producers theatre royal drury lane special award alan bennett outstanding contribution british theatre,0,1,0,0,0
brits return keane number one,brits success helped return keane award winning album hopes fears back top uk album chart the debut album took best british album title brits tuesday moved seven places number eight number one also capitalising brits success scissor sisters whose eponymous album moved three places number two u 2 latest single sometimes you ca make it on your own took top spot singles chart ahead elvis the track current album how to dismantle an atomic bomb pushed eminem like toy soldiers number one number three elvis wooden heart entered chart number two sixth series 18 reissues mark 70 th anniversary presley birth there currently six released elvis tracks occupying spots top 40 singles chart including are you lonesome tonight number 20 it now never number 27 jailhouse rock number 37 soldier destiny child ti lil wayne debuted number four almost here duet former westlife star brian mcfadden delta goodrem fell number three number five there follow brits success franz ferdinand best rock act best british group last week their self titled album moved 13 number four last week number one album tourist athlete fell number three,0,1,0,0,0
soul sensation ready awards,south west teenage singing sensation joss stone nominated three categories wednesday brit awards the 17 year old small east devon village near cullumpton received nominations best solo female best urban act best breakthrough artist her second album mind body soul reached number one uk charts last october went straight us charts number 11 ms stone due perform 25 th award ceremony london earls court the teenager also grammy nominations us normally dominated home grown acts born jocelyn stoker devon diva started career bbc talent programme discovered new york audition us record executive steve greenberg the 17 year old singer hoping tour japan australia us 2005,0,1,0,0,0
ocean twelve raids box office,ocean twelve crime caper sequel starring george clooney brad pitt julia roberts gone straight number one us box office chart it took 40 8 21 weekend ticket sales according studio estimates the sequel follows master criminals try pull three major heists across europe it knocked last week number one national treasure third place wesley snipes blade trinity second taking 16 1 8 4 rounding top five animated fable the polar express starring tom hanks festive comedy christmas kranks ocean twelve box office triumph marks fourth biggest opening december release us three films lord rings trilogy the sequel narrowly beat 2001 predecessor ocean eleven took 38 1 19 8 opening weekend 184 95 8 total a remake 1960 film starring frank sinatra rat pack ocean eleven directed oscar winning director steven soderbergh soderbergh returns direct hit sequel reunites clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast it fun good holiday movie said dan fellman president distribution warner bros however us critics less complimentary 110 57 2 project los angeles times labelling dispiriting vanity project a milder review new york times dubbed sequel unabashedly trivial,0,1,0,0,0
dvd review spider man 2,it universal rule film either superhero special effects extravaganza good but spider man 2 breaks rule two it fantastically deep get quickly drawn tale spidey versus doc ock fate poor peter parker gigantic action set pieces seamlessly work brooding personal torment looks stunning a effects look false tobey maguire kirsten dunst alfred molina make compelling the universal rule dvds superhero films making of features effects this disc covers special effects enough one part detailed look film then commentaries trailers blooper reel sometimes quality comes bulk set contains less 34 john wayne films ranging westerns war movies the quiet man now christmas present give someone 24 december see early new year it truly complete collection leans toward wayne earlier films true grit instance though hellraisers the films look well transferred dvd though none extras it daft knew somehow famous 1979 series became cult favourite long awaited dvd this set first season buck gil gerard wilma erin gray tongue cheek adventures camp gaudy remember but also disappointment the us dvd po faced second season import price the bigger omission though extras that particularly disappointing originally meant commentaries stars gerard gray agreed,0,1,0,0,0
tautou film tops cesar prize nods,french film a very long engagement received 12 nominations france cesar film awards despite recent ruling french enough the world war i romantic drama starring audrey tautou recently ruled american paris court partially backed warner bros but cesar organisers modified rules allow film compete the film directed jean pierre jeunet received best actress picture director nominations last november court judged film american compete french film festivals two associations french producers challenged jeunet right french government subsidies warner bros backer the ruling meant movie filmed france used french actors technicians eligible compete french prizes but alain terzian president cesar organisers academie des arts et techniques du cinema said changes eligibility rules allow films french expression made three months prior court decision other films best film category include police drama 36 quai des orfevres arnaud desplechin kings and queen abdellatif kechiche l esquive france number one film 2004 box office the chorus best actors daniel auteuil 36 mathieu amalric kings and queen gerard jugnot the chorus philippe torreton l equipier benoit poelvoorde podium tautou compete maggie cheung emmanuelle devos yolande moreau karin viard best actress michael moore fahrenheit 9 11 the motorcycle diaries lost translation eternal sunshine spotless mind 21 grams vying best foreign film prize the awards ceremony held 26 february this year will smith star i robot independence day men in black given honorary cesar along french singer actor jacques dutronc,0,1,0,0,0
downloads enter us singles chart,digital music downloads included main us singles chart first time billboard hot 100 chart incorporates data sales music downloads previously assigned separate download chart green day boulevard broken dreams currently number two billboard pop chart tops digital chart download sales due incorporated uk singles chart later year digital sales us already used compile billboard hot digital sales chart they tallied sales physical singles airplay information make new hot 100 chart its second new chart pop 100 also combines airplay digital physical sales confines airplay information us radio stations play chart music in addition green day artists current us digital sales top 10 include kelly clarkson the game killers sales legally downloaded songs shot tenfold 2004 200 million track purchased online us europe 12 months international federation phonographic industry ifpi reported last month in uk sales song downloads overtook physical singles first time end last year the last week december 2004 saw download sales 312 000 compared 282 000 physical singles according british phonographic industry the uk first official music download chart launched last september compiling popular tracks downloaded legal uk sites including itunes od 2 mycokemusic com napster westlife flying without wings 1999 track reissued occasion first number one uk download chart a spokesman british phonographic industry bpi said first combined uk download sales chart due compiled within first half year work going across music business right make sure new chart works plan said the bpi spokesman described uk music download chart compiled official charts company great success since launch it provided focus industry really driven interest downloads among music fans said,0,1,0,0,0
